Barcode number,Company,Brand,Manufacturer,Rating,Category,Criticism,Praise,Category names
,,Norco,,C,13,Palm oil rating - WAZA,5/5 for packaging performance,Butter & Margarine
,,Farmer's Table,,C,13,"Renewable energy use, Palm oil rating - WAZA, 29/100 S&P Global ESG Score","76/100 in TIME rankings, 4/5 for packaging performance, Modern Slavery disclosure quality, 12/20 in Social Benchmark",Butter & Margarine
,,Westgold,,F,13,"12.3% in Forest 500 Rankings, 0/100 in KnowTheChain Benchmark, 0.8% in Human Rights Benchmark, Access to Nutrition rating, 6.2% in Gender Benchmark, 0.1% in BMS Marketing Index, 1/20 in Social Benchmark, Tier 6 in farm animal welfare rankings, FAIRR Protein Producer Index, 6% in Food and Agriculture Benchmark, 5.1% in Nature Benchmark, Supply chain practices in China, 3.2% in methane scorecard, Investing in single-use plastic waste, Human rights abuse, Treatment of Uyghurs, Human rights abuse","CDP Climate Change score of B, CDP Forests score of B, CDP Water Security score of B",Butter & Margarine
,,Great Ocean Road,,F,13,"2/100 in KnowTheChain Benchmark, 3/20 in Social Benchmark, Unsustainable palm oil use, 8% in methane scorecard, Tier 5 in farm animal welfare rankings, 27/100 S&P Global ESG Score, 19.5% in Food and Agriculture Benchmark, 15.1% in Nature Benchmark","4/5 for packaging performance, Palm oil rating - WAZA, CDP Climate Change score of B-",Butter & Margarine
,,President,,F,13,"Renewable energy use, Fined $950k for Dairy Code breaches, Access to Nutrition rating, 0.1% in BMS Marketing Index, 0/20 in Social Benchmark, 4.4% in Food and Agriculture Benchmark, 4.3% in Nature Benchmark, 3.2% in methane scorecard, 24.5% in Forest 500 Rankings, CDP Forests score of D, Palm oil rating - WAZA",4/5 for packaging performance,Butter & Margarine
,,Australian Gold,,F,14,"2/100 in KnowTheChain Benchmark, 3/20 in Social Benchmark, Unsustainable palm oil use, 8% in methane scorecard, Tier 5 in farm animal welfare rankings, 27/100 S&P Global ESG Score, 19.5% in Food and Agriculture Benchmark, 15.1% in Nature Benchmark","4/5 for packaging performance, Palm oil rating - WAZA, CDP Climate Change score of B-",Cheese
,,Bega,,C,14,"Renewable energy use, Palm oil rating - WAZA, 29/100 S&P Global ESG Score","76/100 in TIME rankings, 4/5 for packaging performance, Modern Slavery disclosure quality, 12/20 in Social Benchmark",Cheese
,,Bodalla,,C,14,"17% in Forest 500 Rankings, Supply chain practices in China, 18.8% in methane scorecard, Renewable energy use, 7.5/20 in Social Benchmark","4/5 for packaging performance, CDP Climate Change score of A-, Packaging Council of New Zealand member, Palm oil rating - WAZA, CDP Water Security score of B, 41% in Food and Agriculture Benchmark, 36.1% in Nature Benchmark",Cheese
,,Caboolture,,F,14,"2/100 in KnowTheChain Benchmark, 3/20 in Social Benchmark, Unsustainable palm oil use, 8% in methane scorecard, Tier 5 in farm animal welfare rankings, 27/100 S&P Global ESG Score, 19.5% in Food and Agriculture Benchmark, 15.1% in Nature Benchmark","4/5 for packaging performance, Palm oil rating - WAZA, CDP Climate Change score of B-",Cheese
,,Castello,,C,14,"Supply chain practices in China, 24.1% in Forest 500 Rankings, 14.8% in methane scorecard, Tier 5 in farm animal welfare rankings","79/100 in TIME rankings, Palm oil rating - WAZA, Palm oil scorecard - WWF, Access to Nutrition rating, 13/20 in Social Benchmark, 42.4% in Food and Agriculture Benchmark",Cheese
,,Cobram,,F,14,"2/100 in KnowTheChain Benchmark, 3/20 in Social Benchmark, Unsustainable palm oil use, 8% in methane scorecard, Tier 5 in farm animal welfare rankings, 27/100 S&P Global ESG Score, 19.5% in Food and Agriculture Benchmark, 15.1% in Nature Benchmark","4/5 for packaging performance, Palm oil rating - WAZA, CDP Climate Change score of B-",Cheese
,,Coon,,F,14,"2/100 in KnowTheChain Benchmark, 3/20 in Social Benchmark, Unsustainable palm oil use, 8% in methane scorecard, Tier 5 in farm animal welfare rankings, 27/100 S&P Global ESG Score, 19.5% in Food and Agriculture Benchmark, 15.1% in Nature Benchmark","4/5 for packaging performance, Palm oil rating - WAZA, CDP Climate Change score of B-",Cheese
,,Cracker Barrel,,F,14,"2/100 in KnowTheChain Benchmark, 3/20 in Social Benchmark, Unsustainable palm oil use, 8% in methane scorecard, Tier 5 in farm animal welfare rankings, 27/100 S&P Global ESG Score, 19.5% in Food and Agriculture Benchmark, 15.1% in Nature Benchmark","4/5 for packaging performance, Palm oil rating - WAZA, CDP Climate Change score of B-",Cheese
,,Dairy Farmers,,C,14,"Renewable energy use, Palm oil rating - WAZA, 29/100 S&P Global ESG Score","76/100 in TIME rankings, 4/5 for packaging performance, Modern Slavery disclosure quality, 12/20 in Social Benchmark",Cheese
,,Devondale,,F,14,"2/100 in KnowTheChain Benchmark, 3/20 in Social Benchmark, Unsustainable palm oil use, 8% in methane scorecard, Tier 5 in farm animal welfare rankings, 27/100 S&P Global ESG Score, 19.5% in Food and Agriculture Benchmark, 15.1% in Nature Benchmark","4/5 for packaging performance, Palm oil rating - WAZA, CDP Climate Change score of B-",Cheese
,,Ferndale,,C,14,"17% in Forest 500 Rankings, Supply chain practices in China, 18.8% in methane scorecard, Renewable energy use, 7.5/20 in Social Benchmark","4/5 for packaging performance, CDP Climate Change score of A-, Packaging Council of New Zealand member, Palm oil rating - WAZA, CDP Water Security score of B, 41% in Food and Agriculture Benchmark, 36.1% in Nature Benchmark",Cheese
,,Jarlsberg,,?,14,none,none,Cheese
,,Jindi,,F,14,"Access to Nutrition rating, 0.1% in BMS Marketing Index, 0/20 in Social Benchmark, 4.4% in Food and Agriculture Benchmark, 4.3% in Nature Benchmark, 3.2% in methane scorecard, 24.5% in Forest 500 Rankings, CDP Forests score of D, Palm oil rating - WAZA",none,Cheese
,,King Island Dairy,,F,14,"2/100 in KnowTheChain Benchmark, 3/20 in Social Benchmark, Unsustainable palm oil use, 8% in methane scorecard, Tier 5 in farm animal welfare rankings, 27/100 S&P Global ESG Score, 19.5% in Food and Agriculture Benchmark, 15.1% in Nature Benchmark","4/5 for packaging performance, Palm oil rating - WAZA, CDP Climate Change score of B-",Cheese
,,Kiri,,C,14,"Part owned by Lactalis, which has criticisms",Palm oil rating - WAZA,Cheese
,,Mainland,,C,14,"17% in Forest 500 Rankings, Supply chain practices in China, 18.8% in methane scorecard, Renewable energy use, 7.5/20 in Social Benchmark","4/5 for packaging performance, CDP Climate Change score of A-, Packaging Council of New Zealand member, Palm oil rating - WAZA, CDP Water Security score of B, 41% in Food and Agriculture Benchmark, 36.1% in Nature Benchmark",Cheese
,,Mamma Lucia,,?,14,none,none,Cheese
,,Mersey Valley,,F,14,"2/100 in KnowTheChain Benchmark, 3/20 in Social Benchmark, Unsustainable palm oil use, 8% in methane scorecard, Tier 5 in farm animal welfare rankings, 27/100 S&P Global ESG Score, 19.5% in Food and Agriculture Benchmark, 15.1% in Nature Benchmark","4/5 for packaging performance, Palm oil rating - WAZA, CDP Climate Change score of B-",Cheese
,,Mil Lel,,F,14,"2/100 in KnowTheChain Benchmark, 3/20 in Social Benchmark, Unsustainable palm oil use, 8% in methane scorecard, Tier 5 in farm animal welfare rankings, 27/100 S&P Global ESG Score, 19.5% in Food and Agriculture Benchmark, 15.1% in Nature Benchmark","4/5 for packaging performance, Palm oil rating - WAZA, CDP Climate Change score of B-",Cheese
,,Babybel,,C,14,"Part owned by Lactalis, which has criticisms",Palm oil rating - WAZA,Cheese
,,Norco Natural Cheese Co,,C,14,Palm oil rating - WAZA,5/5 for packaging performance,Cheese
,,Pantalica,,?,14,none,none,Cheese
,,Perfect Italiano,,C,14,"17% in Forest 500 Rankings, Supply chain practices in China, 18.8% in methane scorecard, Renewable energy use, 7.5/20 in Social Benchmark","4/5 for packaging performance, CDP Climate Change score of A-, Packaging Council of New Zealand member, Palm oil rating - WAZA, CDP Water Security score of B, 41% in Food and Agriculture Benchmark, 36.1% in Nature Benchmark",Cheese
,,Philadelphia,,F,14,"Palm oil sourcing, Delaying action on plastic pollution, F grade in Keep Forests Standing report, Plastic pollution, Tier 6 in farm animal welfare rankings, Palm oil from illegal sources, Deforestation in Africa, Supply chain practices in China, 34.5% in Forest 500 Rankings, Palm oil sourcing, Palm oil rating - WAZA, Chocolate scorecard, 23/100 in KnowTheChain Benchmark, 7/27 in pesticides scorecard, Exploitative purchasing practices, Tax avoidance, Fined for wheat price manipulation, CEO Pay Ratio of 502:1, Fined for anti-competitive behaviour","4/5 for packaging performance, CDP Climate Change score of A-, CDP Forests score of B-, 100% on Corporate Equality Index, Access to Nutrition rating, 13.5/20 in Social Benchmark, 70.1/100 in Newsweek rankings, 74/100 S&P Global ESG Score, 42.4% in Food and Agriculture Benchmark, 30.7% in Nature Benchmark",Cheese
,,Puglia,,?,14,none,none,Cheese
,,South Cape,,F,14,"2/100 in KnowTheChain Benchmark, 3/20 in Social Benchmark, Unsustainable palm oil use, 8% in methane scorecard, Tier 5 in farm animal welfare rankings, 27/100 S&P Global ESG Score, 19.5% in Food and Agriculture Benchmark, 15.1% in Nature Benchmark","4/5 for packaging performance, Palm oil rating - WAZA, CDP Climate Change score of B-",Cheese
,,Jaycroix,,?,14,none,none,Cheese
,,Tasmanian Heritage,,F,14,"2/100 in KnowTheChain Benchmark, 3/20 in Social Benchmark, Unsustainable palm oil use, 8% in methane scorecard, Tier 5 in farm animal welfare rankings, 27/100 S&P Global ESG Score, 19.5% in Food and Agriculture Benchmark, 15.1% in Nature Benchmark","4/5 for packaging performance, Palm oil rating - WAZA, CDP Climate Change score of B-",Cheese
,,Tholstrup,,C,14,"Supply chain practices in China, 24.1% in Forest 500 Rankings, 14.8% in methane scorecard, Tier 5 in farm animal welfare rankings","79/100 in TIME rankings, Palm oil rating - WAZA, Palm oil scorecard - WWF, Access to Nutrition rating, 13/20 in Social Benchmark, 42.4% in Food and Agriculture Benchmark",Cheese
,,Wattle Valley,,D,14,"12/100 S&P Global ESG Score, Unsustainable palm oil use","4/5 for packaging performance, Palm oil rating - WAZA",Cheese
,,Laughing Cow,,C,14,"Part owned by Lactalis, which has criticisms",Palm oil rating - WAZA,Cheese
,,Rosenborg,,C,14,"Supply chain practices in China, 24.1% in Forest 500 Rankings, 14.8% in methane scorecard, Tier 5 in farm animal welfare rankings","79/100 in TIME rankings, Palm oil rating - WAZA, Palm oil scorecard - WWF, Access to Nutrition rating, 13/20 in Social Benchmark, 42.4% in Food and Agriculture Benchmark",Cheese
,,Lemnos,,F,14,"Renewable energy use, Fined $950k for Dairy Code breaches, Access to Nutrition rating, 0.1% in BMS Marketing Index, 0/20 in Social Benchmark, 4.4% in Food and Agriculture Benchmark, 4.3% in Nature Benchmark, 3.2% in methane scorecard, 24.5% in Forest 500 Rankings, CDP Forests score of D, Palm oil rating - WAZA",4/5 for packaging performance,Cheese
,,Mayers,,C,14,"Supply chain practices in China, 24.1% in Forest 500 Rankings, 14.8% in methane scorecard, Tier 5 in farm animal welfare rankings","79/100 in TIME rankings, Palm oil rating - WAZA, Palm oil scorecard - WWF, Access to Nutrition rating, 13/20 in Social Benchmark, 42.4% in Food and Agriculture Benchmark",Cheese
,,Margaret River,,?,14,none,none,Cheese
,,Ashgrove,,?,14,none,none,Cheese
,,Chrystal Fresh,,F,14,"Palm oil rating - WAZA, 0% in Forest 500 Rankings, Supply chain practices in China, 0/20 in Social Benchmark, 0% in Food and Agriculture Benchmark, 0% in Nature Benchmark, 0% in Seafood Stewardship Index, Investing in single-use plastic waste, Human rights abuse, Treatment of Uyghurs, Human rights abuse",4/5 for packaging performance,Cheese
,,Mable's,,B,14,none,3/5 for packaging performance,Cheese
,,True Organic,,B,14,none,Organic products,Cheese
,,Singletons,,C,14,"Supply chain practices in China, 24.1% in Forest 500 Rankings, 14.8% in methane scorecard, Tier 5 in farm animal welfare rankings","79/100 in TIME rankings, Palm oil rating - WAZA, Palm oil scorecard - WWF, Access to Nutrition rating, 13/20 in Social Benchmark, 42.4% in Food and Agriculture Benchmark",Cheese
,,Unicorn,,D,14,"CDP Forests score of D, CDP Water Security score of D, 17.2% in Food and Agriculture Benchmark, 17.3% in Nature Benchmark","4/5 for packaging performance, CDP Climate Change score of B",Cheese
,,Paris Creek Farms,,B,14,none,Exclusively organic products,Cheese
,,Apollo,,?,14,none,none,Cheese
,,Viking,,C,14,"Supply chain practices in China, 24.1% in Forest 500 Rankings, 14.8% in methane scorecard, Tier 5 in farm animal welfare rankings","79/100 in TIME rankings, Palm oil rating - WAZA, Palm oil scorecard - WWF, Access to Nutrition rating, 13/20 in Social Benchmark, 42.4% in Food and Agriculture Benchmark",Cheese
,,Mundella,,?,14,none,none,Cheese
,,Great Ocean Road,,F,14,"2/100 in KnowTheChain Benchmark, 3/20 in Social Benchmark, Unsustainable palm oil use, 8% in methane scorecard, Tier 5 in farm animal welfare rankings, 27/100 S&P Global ESG Score, 19.5% in Food and Agriculture Benchmark, 15.1% in Nature Benchmark","4/5 for packaging performance, Palm oil rating - WAZA, CDP Climate Change score of B-",Cheese
,,Warrnambool,,F,14,"2/100 in KnowTheChain Benchmark, 3/20 in Social Benchmark, Unsustainable palm oil use, 8% in methane scorecard, Tier 5 in farm animal welfare rankings, 27/100 S&P Global ESG Score, 19.5% in Food and Agriculture Benchmark, 15.1% in Nature Benchmark","4/5 for packaging performance, Palm oil rating - WAZA, CDP Climate Change score of B-",Cheese
,,President,,F,14,"Renewable energy use, Fined $950k for Dairy Code breaches, Access to Nutrition rating, 0.1% in BMS Marketing Index, 0/20 in Social Benchmark, 4.4% in Food and Agriculture Benchmark, 4.3% in Nature Benchmark, 3.2% in methane scorecard, 24.5% in Forest 500 Rankings, CDP Forests score of D, Palm oil rating - WAZA",4/5 for packaging performance,Cheese
,,La Casa Del Formaggio,,B,14,none,4/5 for packaging performance,Cheese
,,Munchables,,C,14,"17% in Forest 500 Rankings, Supply chain practices in China, 18.8% in methane scorecard, Renewable energy use, 7.5/20 in Social Benchmark","4/5 for packaging performance, CDP Climate Change score of A-, Packaging Council of New Zealand member, Palm oil rating - WAZA, CDP Water Security score of B, 41% in Food and Agriculture Benchmark, 36.1% in Nature Benchmark",Cheese
,,Mungalli Creek,,B,14,none,Exclusively biodynamic products,Cheese
,,Capel Valley,,F,14,"Renewable energy use, Fined $950k for Dairy Code breaches, Access to Nutrition rating, 0.1% in BMS Marketing Index, 0/20 in Social Benchmark, 4.4% in Food and Agriculture Benchmark, 4.3% in Nature Benchmark, 3.2% in methane scorecard, 24.5% in Forest 500 Rankings, CDP Forests score of D, Palm oil rating - WAZA",4/5 for packaging performance,Cheese
,,Tempo,,?,14,none,none,Cheese
,,Apetina,,C,14,"Supply chain practices in China, 24.1% in Forest 500 Rankings, 14.8% in methane scorecard, Tier 5 in farm animal welfare rankings","79/100 in TIME rankings, Palm oil rating - WAZA, Palm oil scorecard - WWF, Access to Nutrition rating, 13/20 in Social Benchmark, 42.4% in Food and Agriculture Benchmark",Cheese
,,Happy Cow,,?,14,none,none,Cheese
,,Moondarra,,?,14,none,none,Cheese
,,Riverina Dairy,,D,14,Feedlot operations,none,Cheese
,,Il Migliore,,F,14,"2/100 in KnowTheChain Benchmark, 3/20 in Social Benchmark, Unsustainable palm oil use, 8% in methane scorecard, Tier 5 in farm animal welfare rankings, 27/100 S&P Global ESG Score, 19.5% in Food and Agriculture Benchmark, 15.1% in Nature Benchmark","4/5 for packaging performance, Palm oil rating - WAZA, CDP Climate Change score of B-",Cheese
,,Dairylea,,C,14,"Renewable energy use, Palm oil rating - WAZA, 29/100 S&P Global ESG Score","76/100 in TIME rankings, 4/5 for packaging performance, Modern Slavery disclosure quality, 12/20 in Social Benchmark",Cheese
,,Nowra Farmhouse,,D,14,"CDP Forests score of D, CDP Water Security score of D, 17.2% in Food and Agriculture Benchmark, 17.3% in Nature Benchmark","4/5 for packaging performance, CDP Climate Change score of B",Cheese
,,Liddells,,F,14,"2/100 in KnowTheChain Benchmark, 3/20 in Social Benchmark, Unsustainable palm oil use, 8% in methane scorecard, Tier 5 in farm animal welfare rankings, 27/100 S&P Global ESG Score, 19.5% in Food and Agriculture Benchmark, 15.1% in Nature Benchmark","4/5 for packaging performance, Palm oil rating - WAZA, CDP Climate Change score of B-",Cheese
,,Maffra Cheese Co,,?,14,none,none,Cheese
,,Kraft,,F,14,"Misleading labelling, Nanoparticles in baby formula, Palm oil sourcing, 12/100 in KnowTheChain Benchmark, 4/27 in pesticides scorecard, 0.3% in CF Marketing Index, Supply chain practices in China, D+ grade in Plastic Promises Scorecard, Palm oil scorecard - WWF, 13.8% in Human Rights Benchmark, Access to Nutrition rating, 18.5% in Gender Benchmark, Tier 5 in farm animal welfare rankings, Fined for wheat price manipulation, Part ownership by Berkshire Hathaway, Excessive CEO pay, $62m accounting fraud settlement","4/5 for packaging performance, CDP Climate Change score of B, Palm oil rating - WAZA, CDP Water Security score of B, 100% on Corporate Equality Index",Cheese
,,Bulla,,C,14,Palm oil rating - WAZA,4/5 for packaging performance,Cheese
,,Dairyworks,,C,14,"Part owned by Bright Food, which has criticisms","CDP Climate Change Score of A-, Certified B Corporation",Cheese
,,Hillview,,C,14,"Supply chain practices in China, 35% in Forest 500 Rankings, 1/5 for plastic use, Fined $1m for breaching spam laws, $50m underpayments settlement, High free range stocking densities, 36/100 S&P Global ESG Score","Renewable energy use, 4/5 for packaging performance, Palm oil rating - WAZA, CDP Climate Change score of B, 42.1% in Human Rights Benchmark, 56/100 in KnowTheChain Benchmark, Modern Slavery disclosure quality, 13/20 in Social Benchmark, Banksia Sustainability Award 2023, 43.3% in Food and Agriculture Benchmark",Cheese
,,Pure Produce Company,,?,14,none,none,Cheese
,,Fred Walker,,F,14,"2/100 in KnowTheChain Benchmark, 3/20 in Social Benchmark, Unsustainable palm oil use, 8% in methane scorecard, Tier 5 in farm animal welfare rankings, 27/100 S&P Global ESG Score, 19.5% in Food and Agriculture Benchmark, 15.1% in Nature Benchmark","4/5 for packaging performance, Palm oil rating - WAZA, CDP Climate Change score of B-",Cheese
,,Heidi Farm,,F,14,"2/100 in KnowTheChain Benchmark, 3/20 in Social Benchmark, Unsustainable palm oil use, 8% in methane scorecard, Tier 5 in farm animal welfare rankings, 27/100 S&P Global ESG Score, 19.5% in Food and Agriculture Benchmark, 15.1% in Nature Benchmark","4/5 for packaging performance, Palm oil rating - WAZA, CDP Climate Change score of B-",Cheese
,,Westacre,,D,14,"4.5/10 in Deforestation Scorecard, High free range stocking densities, Poverty wages in Bangladesh, Worker exploitation, 21.4% in Forest 500 Rankings, Unsustainable palm oil use, 13/100 in What Fuels Fashion?, Tier 4 in farm animal welfare rankings","4/5 for packaging performance, Renewable energy use, COVID Fashion Commitments, Banksia Sustainability Award 2020, Palm oil rating - WAZA, Palm oil scorecard - WWF, International Accord signatory, Ethical Trading Initiative member, 10.5/20 in Social Benchmark",Cheese
,,Cowbelle,,D,14,"4.5/10 in Deforestation Scorecard, High free range stocking densities, Poverty wages in Bangladesh, Worker exploitation, 21.4% in Forest 500 Rankings, Unsustainable palm oil use, 13/100 in What Fuels Fashion?, Tier 4 in farm animal welfare rankings","4/5 for packaging performance, Renewable energy use, COVID Fashion Commitments, Banksia Sustainability Award 2020, Palm oil rating - WAZA, Palm oil scorecard - WWF, International Accord signatory, Ethical Trading Initiative member, 10.5/20 in Social Benchmark",Cheese
,,Emporium Selection,,D,14,"4.5/10 in Deforestation Scorecard, High free range stocking densities, Poverty wages in Bangladesh, Worker exploitation, 21.4% in Forest 500 Rankings, Unsustainable palm oil use, 13/100 in What Fuels Fashion?, Tier 4 in farm animal welfare rankings","4/5 for packaging performance, Renewable energy use, COVID Fashion Commitments, Banksia Sustainability Award 2020, Palm oil rating - WAZA, Palm oil scorecard - WWF, International Accord signatory, Ethical Trading Initiative member, 10.5/20 in Social Benchmark",Cheese
,,Maggie Beer,,B,14,none,3/5 for packaging performance,Cheese
,,Cheer,,F,14,"2/100 in KnowTheChain Benchmark, 3/20 in Social Benchmark, Unsustainable palm oil use, 8% in methane scorecard, Tier 5 in farm animal welfare rankings, 27/100 S&P Global ESG Score, 19.5% in Food and Agriculture Benchmark, 15.1% in Nature Benchmark","4/5 for packaging performance, Palm oil rating - WAZA, CDP Climate Change score of B-",Cheese
,,Thomas Dux,,C,14,"Supply chain practices in China, 35% in Forest 500 Rankings, 1/5 for plastic use, Fined $1m for breaching spam laws, $50m underpayments settlement, High free range stocking densities, 36/100 S&P Global ESG Score","Renewable energy use, 4/5 for packaging performance, Palm oil rating - WAZA, CDP Climate Change score of B, 42.1% in Human Rights Benchmark, 56/100 in KnowTheChain Benchmark, Modern Slavery disclosure quality, 13/20 in Social Benchmark, Banksia Sustainability Award 2023, 43.3% in Food and Agriculture Benchmark",Cheese
,,Coles,,D,14,"0.75/10 in Deforestation Scorecard, 1.5/5 for plastic use, D grade in 2021 Ethical Fashion Report, No COVID Fashion Commitments, Chocolate scorecard, High free range stocking densities, Underpaying workers, Misleading conduct, Tier 5 in farm animal welfare rankings","4/5 for packaging performance, Renewable energy use, Palm oil rating - WAZA, 39.1% in Human Rights Benchmark, Modern Slavery disclosure quality, 40% in Gender Benchmark, 13/20 in Social Benchmark, 42.6% in Food and Agriculture Benchmark",Cheese
,,Woolworths,,C,14,"Supply chain practices in China, 35% in Forest 500 Rankings, 1/5 for plastic use, Fined $1m for breaching spam laws, $50m underpayments settlement, High free range stocking densities, 36/100 S&P Global ESG Score","Renewable energy use, 4/5 for packaging performance, Palm oil rating - WAZA, CDP Climate Change score of B, 42.1% in Human Rights Benchmark, 56/100 in KnowTheChain Benchmark, Modern Slavery disclosure quality, 13/20 in Social Benchmark, Banksia Sustainability Award 2023, 43.3% in Food and Agriculture Benchmark",Cheese
,,Carnation,,F,15,"Irresponsible marketing, Nanoparticles in baby formula, Boycott call for infant formula, Palm oil sourcing, Delaying action on plastic pollution, Plastic pollution, Slave labour in Brazil, Control of water in North America, Palm oil from illegal sources, Deforestation in Africa, D grade in Keep Forests Standing report, ""Net zero"" greenwash, Palm oil sourcing, Promotion of bottled water, 7/27 in pesticides scorecard, Illegal baby food trials in India, Exploitative purchasing practices, 21.2% in BMS Marketing Index, Tier 5 in farm animal welfare rankings, Nanoparticles in baby formula, 39/100 S&P Global ESG Score","100% UTZ Certified cocoa, 4/5 for packaging performance, Modern Slavery disclosure quality, CDP Climate Change score of A-, Climate policy engagement, Access to Nutrition rating, 15/20 in Social Benchmark, 65.6% in Food and Agriculture Benchmark, 54.1% in Nature Benchmark, CDP Forests score of B, 66.5% in Forest 500 Rankings, Palm oil rating - WAZA, CDP Water Security score of B, 34.3% in Human Rights Benchmark, 40.4% in Gender Benchmark",Milk
,,Dairy Farmers,,C,15,"Renewable energy use, Palm oil rating - WAZA, 29/100 S&P Global ESG Score","76/100 in TIME rankings, 4/5 for packaging performance, Modern Slavery disclosure quality, 12/20 in Social Benchmark",Milk
,,The Complete Dairy,,C,15,"Renewable energy use, Palm oil rating - WAZA, 29/100 S&P Global ESG Score","76/100 in TIME rankings, 4/5 for packaging performance, Modern Slavery disclosure quality, 12/20 in Social Benchmark",Milk
,,Devondale,,F,15,"2/100 in KnowTheChain Benchmark, 3/20 in Social Benchmark, Unsustainable palm oil use, 8% in methane scorecard, Tier 5 in farm animal welfare rankings, 27/100 S&P Global ESG Score, 19.5% in Food and Agriculture Benchmark, 15.1% in Nature Benchmark","4/5 for packaging performance, Palm oil rating - WAZA, CDP Climate Change score of B-",Milk
,,Farmhouse Gold,,F,15,"Renewable energy use, Fined $950k for Dairy Code breaches, Access to Nutrition rating, 0.1% in BMS Marketing Index, 0/20 in Social Benchmark, 4.4% in Food and Agriculture Benchmark, 4.3% in Nature Benchmark, 3.2% in methane scorecard, 24.5% in Forest 500 Rankings, CDP Forests score of D, Palm oil rating - WAZA",4/5 for packaging performance,Milk
,,Farmers Union,,C,15,"Renewable energy use, Palm oil rating - WAZA, 29/100 S&P Global ESG Score","76/100 in TIME rankings, 4/5 for packaging performance, Modern Slavery disclosure quality, 12/20 in Social Benchmark",Milk
,,Parmalat,,F,15,"Renewable energy use, Fined $950k for Dairy Code breaches, Access to Nutrition rating, 0.1% in BMS Marketing Index, 0/20 in Social Benchmark, 4.4% in Food and Agriculture Benchmark, 4.3% in Nature Benchmark, 3.2% in methane scorecard, 24.5% in Forest 500 Rankings, CDP Forests score of D, Palm oil rating - WAZA",4/5 for packaging performance,Milk
,,Pure Organic,,B,15,none,Organic products,Milk
,,Pauls,,F,15,"Renewable energy use, Fined $950k for Dairy Code breaches, Access to Nutrition rating, 0.1% in BMS Marketing Index, 0/20 in Social Benchmark, 4.4% in Food and Agriculture Benchmark, 4.3% in Nature Benchmark, 3.2% in methane scorecard, 24.5% in Forest 500 Rankings, CDP Forests score of D, Palm oil rating - WAZA",4/5 for packaging performance,Milk
,,PhysiCal,,F,15,"Renewable energy use, Fined $950k for Dairy Code breaches, Access to Nutrition rating, 0.1% in BMS Marketing Index, 0/20 in Social Benchmark, 4.4% in Food and Agriculture Benchmark, 4.3% in Nature Benchmark, 3.2% in methane scorecard, 24.5% in Forest 500 Rankings, CDP Forests score of D, Palm oil rating - WAZA",4/5 for packaging performance,Milk
,,Pura,,C,15,"Renewable energy use, Palm oil rating - WAZA, 29/100 S&P Global ESG Score","76/100 in TIME rankings, 4/5 for packaging performance, Modern Slavery disclosure quality, 12/20 in Social Benchmark",Milk
,,Rev,,F,15,"Renewable energy use, Fined $950k for Dairy Code breaches, Access to Nutrition rating, 0.1% in BMS Marketing Index, 0/20 in Social Benchmark, 4.4% in Food and Agriculture Benchmark, 4.3% in Nature Benchmark, 3.2% in methane scorecard, 24.5% in Forest 500 Rankings, CDP Forests score of D, Palm oil rating - WAZA",4/5 for packaging performance,Milk
,,Skinny Milk,,F,15,"Renewable energy use, Fined $950k for Dairy Code breaches, Access to Nutrition rating, 0.1% in BMS Marketing Index, 0/20 in Social Benchmark, 4.4% in Food and Agriculture Benchmark, 4.3% in Nature Benchmark, 3.2% in methane scorecard, 24.5% in Forest 500 Rankings, CDP Forests score of D, Palm oil rating - WAZA",4/5 for packaging performance,Milk
,,Smarter White,,F,15,"Renewable energy use, Fined $950k for Dairy Code breaches, Access to Nutrition rating, 0.1% in BMS Marketing Index, 0/20 in Social Benchmark, 4.4% in Food and Agriculture Benchmark, 4.3% in Nature Benchmark, 3.2% in methane scorecard, 24.5% in Forest 500 Rankings, CDP Forests score of D, Palm oil rating - WAZA",4/5 for packaging performance,Milk
,,a2,,F,15,"18/100 S&P Global ESG Score, CDP Climate Change score of D, Modern Slavery disclosure quality, 16.5% in BMS Marketing Index",4/5 for packaging performance,Milk
,,Brownes,,C,15,Part owned by China Mengniu Dairy,4/5 for packaging performance,Milk
,,Liddells,,F,15,"2/100 in KnowTheChain Benchmark, 3/20 in Social Benchmark, Unsustainable palm oil use, 8% in methane scorecard, Tier 5 in farm animal welfare rankings, 27/100 S&P Global ESG Score, 19.5% in Food and Agriculture Benchmark, 15.1% in Nature Benchmark","4/5 for packaging performance, Palm oil rating - WAZA, CDP Climate Change score of B-",Milk
,,Anchor,,C,15,"17% in Forest 500 Rankings, Supply chain practices in China, 18.8% in methane scorecard, Renewable energy use, 7.5/20 in Social Benchmark","4/5 for packaging performance, CDP Climate Change score of A-, Packaging Council of New Zealand member, Palm oil rating - WAZA, CDP Water Security score of B, 41% in Food and Agriculture Benchmark, 36.1% in Nature Benchmark",Milk
,,Zymil,,F,15,"Renewable energy use, Fined $950k for Dairy Code breaches, Access to Nutrition rating, 0.1% in BMS Marketing Index, 0/20 in Social Benchmark, 4.4% in Food and Agriculture Benchmark, 4.3% in Nature Benchmark, 3.2% in methane scorecard, 24.5% in Forest 500 Rankings, CDP Forests score of D, Palm oil rating - WAZA",4/5 for packaging performance,Milk
